LOC_ID,LOC_NAME,AUSPICE,InfantSpace,ToddlerSpace,PreschoolSpace,KindergartenSpace,SchoolAgeSpace
14302,Fantasia Child Care Center (2724826 Ontario Inc),Commercial,0,25,40,14,0
14308,Ridley Orchard School Ltd.,Commercial,0,0,94,0,0
14309,Family Day St Barnabas Child Care Centre,Non-Profit,10,15,24,26,30
14315,Lawrence Orton Early Learning & Child Care Centre,Public (City Operated) Agency,10,20,24,0,0
14318,Aspiring Academics Preschool - Kingston,Commercial,0,14,26,0,0
14319,Kids Way Daycare,Commercial,5,10,0,0,0
14321,Kids Connect Daycare,Commercial,10,30,16,0,0
14322,Bumble Bee Academy,Commercial,0,10,38,0,0
14323,Petitecare,Commercial,6,13,14,0,0
14325,Bumble Bee Garden Child Care Ltd.,Commercial,0,15,13,0,0
14326,Orchard Grove Nursery Inc,Commercial,0,0,32,21,30
14327,Kinderbrook Montessori School,Commercial,0,25,48,0,0
14328,Eh To Zed Preschool Canada Early Learning Academy,Commercial,10,30,48,0,0
14329,Toronto Cheder,Non-Profit,0,0,16,0,0
14333,Gan Chabad Preschool,Non-Profit,10,15,24,0,0
14335,Atelier Kids Inc.,Commercial,0,0,20,24,0
14336,Westside Montessori School,Commercial,0,12,23,0,0
14338,The Neighbourhood Group Harbourfront Child Care,Non-Profit,16,20,0,0,0
14339,The Neighbourhood Group Waterfront Child Care Centre,Non-Profit,0,0,40,26,30
14348,Eyes Abacus Child Care,Commercial,0,10,10,0,0
14350,Early Foundations Learning Centre,Commercial,0,15,32,0,0
14351,The Neighbourhood Group King Edward Child Care,Non-Profit,10,15,24,26,30
14352,Trace Manes School (8603758 Canada Inc),Commercial,6,8,12,0,0
14353,Little Town Childcare And Montessori,Commercial,0,10,24,0,0
14360,Plasp St. Isaac Jogues Catholic School - Tor,Non-Profit,0,0,0,0,15
14361,The Toronto Heschel School,Non-Profit,0,0,24,72,0
14362,Hurwich Education Centre - Kamin,Non-Profit,0,0,24,78,0
14363,The Neighbourhood Group Bellevue Child Care,Non-Profit,0,10,24,0,0
14364,The Clover School - High Park,Commercial,0,11,116,0,0
14365,Simplysmart Childcare Centre & Montessori,Commercial,10,60,72,0,0
14366,Macaulay - St.Nicholas Of Bari Child Care Centre,Non-Profit,0,0,0,13,15
14367,St. Malachy Before & After School Program,Non-Profit,0,0,0,26,15
14370,Torah Tots Preschool,Non-Profit,10,15,40,0,0
14373,Waverley Road Montessori School,Commercial,0,10,19,0,0
14374,Angus Valley Montessori,Commercial,10,43,88,0,0
14375,Blue Bell Academy Inc.,Commercial,10,20,8,0,0
14377,The Toronto Cheder,Non-Profit,0,0,20,0,0
14382,Macaulay - Stanley Child Care Centre,Non-Profit,10,20,32,26,30
14390,Le Jardin De Moliere Inc,Commercial,0,0,15,0,0
14397,Narmer Montessori School,Commercial,0,10,8,0,0
14399,Kinder College Early Learning Centre,Commercial,10,45,48,0,0
14406,The Clover School - High Park Annette Campus,Commercial,0,15,0,0,0
14419,Impact Childcare Centre,Non-Profit,0,20,31,0,0
14422,Beach Hill Montessori,Commercial,0,25,40,0,0
14425,Royal York Childcare Inc,Commercial,10,15,24,0,30
14428,Kiiwednong Aborginal Head Start,Non-Profit,0,0,16,0,0
14430,Jolly Juniors,Commercial,10,24,5,0,0
14431,Aquabella Child Care,Non-Profit,10,20,32,0,0
14433,Macaulay - Tippett Child Care Centre,Non-Profit,10,15,24,0,0
14452,Bendale Licensed Before And After School Program,Non-Profit,0,0,0,26,30
